,price,area_total,area_util,quarto,banheiro,vaga,bairro
2260,R$ 600.000,44 m² área total,44 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
2261,R$ 710.000,88 m² área total,49 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Pinheiros
2262,R$ 1.650.000,258 m² área total,258 m² área útil,2 Quartos,5 Banheiros,3 Vagas,<span> Morumbi
2263,R$ 625.000,120 m² área total,60 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Pompéia
2264,R$ 200.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
2265,R$ 270.000,60 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2266,R$ 498.000,85 m² área total,76 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Vila Mascote
2267,R$ 740.000,87 m² área total,87 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Alto da Boa Vista
2268,R$ 640.000,70 m² área total,70 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Sumarezinho
2269,R$ 410.000,55 m² área total,55 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2270,R$ 1.080.000,250 m² área total,117 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Paulista
2271,R$ 1.275.000,189 m² área total,104 m² área útil,2 Quartos,4 Banheiros,2 Vagas,<span> Brooklin
2272,R$ 4.400.000,284 m² área total,284 m² área útil,3 Quartos,4 Banheiros,4 Vagas,<span> Higien
2273,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2274,R$ 2.700.000,192 m² área total,192 m² área útil,4 Quartos,3 Banheiros,3 Vagas,<span> Vila Madalena
2275,R$ 280.000,52 m² área total,52 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Marabá
2276,R$ 195.000,35 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
2277,R$ 400.000,120 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
2278,R$ 415.000,65 m² área total,65 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Vila Siqueira 
2279,R$ 480.000,100 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2280,R$ 410.000,55 m² área total,55 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
2281,R$ 1.216.200,238 m² área total,132 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Bosque da Saúde
2282,R$ 2.680.000,250 m² área total,250 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Perdizes
2283,R$ 1.550.000,225 m² área total,193 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Perdizes
2284,R$ 2.400.000,232 m² área total,232 m² área útil,4 Quartos,5 Banheiros,5 Vagas,<span> Santana
2285,R$ 460.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2286,R$ 3.200.000,238 m² área total,238 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Vila Mariana
2287,R$ 365.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
2288,R$ 300.000,75 m² área total,62 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila Santa Catarina
2289,R$ 650.000,140 m² área total,140 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Morumbi
2290,R$ 980.000,72 m² área total,72 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Moema
2291,R$ 640.000,150 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2292,R$ 450.000,55 m² área total,55 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Bosque da Saúde
2293,R$ 1.150.000,183 m² área total,92 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Perdizes
2294,R$ 1.280.000,184 m² área total,100 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Pinheiros
2295,R$ 495.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
2296,R$ 1.870.000,100 m² área total,93 m² área útil,1 Quarto,11 Banheiros,1 Vaga,<span> Itaim Bibi
2297,R$ 370.000,70 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2298,R$ 1.250.000,184 m² área total,184 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Agua Fria
2299,R$ 480.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2300,R$ 1.595.000,129 m² área total,129 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Vila Romana
2301,R$ 585.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2302,R$ 885.000,74 m² área total,74 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardins
2303,R$ 265.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
2304,R$ 530.000,50 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
2305,R$ 1.250.000,112 m² área total,112 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Várzea da Barra Funda
2306,R$ 690.000,70 m² área total,70 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Itaim Bibi
2307,R$ 2.470.000,246 m² área total,246 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Jardim Marajoara
2308,R$ 1.650.000,300 m² área total,200 m² área útil,3 Quartos,3 Banheiros,4 Vagas,<span> Sumaré
2309,R$ 840.000,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
2310,R$ 280.000,25 m² área total,25 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
2311,R$ 390.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
2312,R$ 319.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2313,R$ 1.060.000,110 m² área total,110 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Saúde
2314,R$ 580.000,126 m² área total,78 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila da Saúde
2315,R$ 850.000,83 m² área total,83 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Vila Mariana
2316,R$ 2.950.000,233 m² área total,233 m² área útil,3 Quartos,4 Banheiros,4 Vagas,<span> Campo Belo
2317,R$ 464.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
