,price,area_total,area_util,quarto,banheiro,vaga,bairro
0,R$ 2.450.000,489 m² área total,217 m² área útil,4 Quartos,6 Banheiros,5 Vagas,<span> Campo Belo
1,R$ 2.250.000,115 m² área total,115 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2,R$ 770.000,41 m² área total,41 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
3,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
4,R$ 2.070.000,173 m² área total,173 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Perdizes
5,R$ 170.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
6,R$ 290.000,120 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
7,R$ 540.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
8,R$ 1.010.000,95 m² área total,95 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Cerqueira César
9,R$ 1.200.000,120 m² área total,120 m² área útil,3 Quartos,2 Banheiros,3 Vagas,<span> Vila Clementino
10,R$ 260.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
11,R$ 636.000,41 m² área total,41 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
12,R$ 400.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
13,R$ 1.380.000,76 m² área total,76 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Bela Vista
14,R$ 1.450.000,120 m² área total,103 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Itaim Bibi
15,R$ 7.000.000,490 m² área total,394 m² área útil,4 Quartos,7 Banheiros,5 Vagas,<span> Jardim Guedala
16,R$ 200.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin Paulista
17,R$ 2.950.000,350 m² área total,225 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Indian
18,R$ 1.170.000,157 m² área total,110 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Pompéia
19,R$ 3.400.000,300 m² área total,157 m² área útil,2 Quartos,3 Banheiros,3 Vagas,<span> Vila Nova Conceição
20,R$ 230.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
21,R$ 9.000.000,516 m² área total,367 m² área útil,4 Quartos,5 Banheiros,6 Vagas,<span> Jardim Paulista
22,R$ 1.250.000,184 m² área total,184 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Agua Fria
23,R$ 1.200.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Paulista
24,R$ 990.000,176 m² área total,64 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Madalena
25,R$ 1.380.000,126 m² área total,126 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Barra Funda
26,R$ 300.000,50 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> República
27,R$ 695.000,94 m² área total,94 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
28,R$ 355.000,80 m² área total,56 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Guarani
29,R$ 310.000,34 m² área total,34 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin Paulista
30,R$ 220.000,22 m² área total,22 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Centro
31,R$ 220.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
32,R$ 495.000,90 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Agua Branca
33,R$ 1.248.000,104 m² área total,104 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Vila Mariana
34,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
35,R$ 1.100.000,202 m² área total,108 m² área útil,4 Quartos,4 Banheiros,2 Vagas,<span> Pompéia
36,R$ 170.000,50 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
37,R$ 1.800.000,154 m² área total,154 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Campo Belo
38,R$ 740.000,106 m² área total,76 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Pompéia
39,R$ 1.200.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardins
40,R$ 1.200.000,183 m² área total,92 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Perdizes
41,R$ 455.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
42,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
43,R$ 1.380.000,129 m² área total,129 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Vila Leopoldina
44,R$ 1.278.000,128 m² área total,128 m² área útil,4 Quartos,5 Banheiros,2 Vagas,<span> Perdizes
45,R$ 2.883.000,380 m² área total,225 m² área útil,4 Quartos,5 Banheiros,5 Vagas,<span> Perdizes
46,R$ 525.000,18 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
47,R$ 480.000,70 m² área total,70 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Pinheiros
48,R$ 1.240.000,150 m² área total,150 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Jardim das Vertentes
49,R$ 710.000,90 m² área total,75 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
50,R$ 290.000,60 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
51,R$ 1.270.000,62 m² área total,62 m² área útil,1 Quarto,1 Banheiro,2 Vagas,<span> Vila Olímpia
52,R$ 790.000,120 m² área total,120 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Brooklin
53,R$ 980.000,72 m² área total,72 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Moema
54,R$ 2.650.000,227 m² área total,227 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Perdizes
55,R$ 455.000,51 m² área total,51 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
56,R$ 290.000,60 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
57,R$ 3.100.000,260 m² área total,260 m² área útil,4 Quartos,4 Banheiros,5 Vagas,<span> Santa Teresinha
58,R$ 318.000,35 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
59,R$ 220.000,22 m² área total,22 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Centro
60,R$ 880.000,94 m² área total,94 m² área útil,2 Quartos,3 Banheiros,1 Vaga,<span> Vila Guarani
61,R$ 550.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
62,R$ 280.000,55 m² área total,42 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Cambuci
63,R$ 295.000,90 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
64,R$ 315.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
65,R$ 880.000,107 m² área total,107 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Jardim Marajoara
66,R$ 597.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
67,R$ 650.000,92 m² área total,72 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Conceição
68,R$ 310.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
69,R$ 530.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
70,R$ 320.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
71,R$ 1.080.000,194 m² área total,89 m² área útil,3 Quartos,2 Banheiros,3 Vagas,<span> Sumaré
72,R$ 370.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
73,R$ 380.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
74,R$ 245.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
75,R$ 890.000,98 m² área total,98 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Bosque da Saúde
76,R$ 300.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
77,R$ 325.000,60 m² área total,60 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Ester
78,R$ 1.020.000,83 m² área total,83 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Mariana
79,R$ 455.000,48 m² área total,48 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
80,R$ 1.090.000,196 m² área total,196 m² área útil,5 Quartos,3 Banheiros,2 Vagas,<span> Casa Verde
81,R$ 800.000,54 m² área total,54 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Itaim Bibi
82,R$ 379.500,122 m² área total,68 m² área útil,2 Quartos,3 Banheiros,1 Vaga,<span> Vila Guarani
83,R$ 440.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
84,R$ 422.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
85,R$ 1.190.000,145 m² área total,145 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Vila Mascote
86,R$ 220.000,100 m² área total,60 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Pedreira
87,R$ 6.100.000,377 m² área total,377 m² área útil,4 Quartos,5 Banheiros,5 Vagas,<span> Pinheiros
88,R$ 230.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
89,R$ 828.000,110 m² área total,110 m² área útil,3 Quartos,3 Banheiros,1 Vaga,<span> Brooklin
90,R$ 430.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
91,R$ 930.000,248 m² área total,84 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Pinheiros
92,R$ 282.000,65 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
93,R$ 2.390.000,199 m² área total,199 m² área útil,2 Quartos,4 Banheiros,3 Vagas,<span> Pompéia
94,R$ 320.000,80 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
95,R$ 475.000,60 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
96,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
97,R$ 520.000,100 m² área total,80 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Santa Teresinha
98,R$ 1.190.000,176 m² área total,95 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Brooklin
99,R$ 590.000,60 m² área total,60 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Higien
100,R$ 1.580.000,185 m² área total,136 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Perdizes
101,R$ 960.000,164 m² área total,104 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Leopoldina
102,R$ 250.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
103,R$ 885.000,74 m² área total,74 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardins
104,R$ 1.850.000,324 m² área total,224 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Alto da Lapa
105,R$ 395.000,63 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
106,R$ 305.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
107,R$ 800.000,105 m² área total,103 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Alto do Ipiranga
108,R$ 985.000,90 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
109,R$ 175.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
110,R$ 318.000,300 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
111,R$ 775.000,55 m² área total,55 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Nova Conceição
112,R$ 840.000,176 m² área total,84 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Alto da Lapa
113,R$ 499.000,75 m² área total,75 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Jardim Marajoara
114,R$ 525.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
115,R$ 530.000,129 m² área total,60 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Paraíso
116,R$ 1.370.000,126 m² área total,126 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Brooklin
117,R$ 585.000,36 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
118,R$ 495.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
119,R$ 410.000,36 m² área total,36 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
120,R$ 282.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
121,R$ 300.000,80 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
122,R$ 230.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
123,R$ 325.000,63 m² área total,63 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Jardim das Vertentes
124,R$ 310.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
125,R$ 320.000,70 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
126,R$ 425.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
127,R$ 979.000,140 m² área total,140 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Santa Teresinha
128,R$ 680.000,60 m² área total,60 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Perdizes
129,R$ 775.000,55 m² área total,55 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Nova Conceição
130,R$ 365.000,65 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
131,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
132,R$ 360.000,38 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Barra Funda
133,R$ 490.000,57 m² área total,57 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Saúde
134,R$ 250.000,77 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
135,R$ 455.000,48 m² área total,48 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
136,R$ 950.000,70 m² área total,70 m² área útil,1 Quarto,2 Banheiros,1 Vaga,<span> Cerqueira César
137,R$ 8.500.000,300 m² área total,300 m² área útil,3 Quartos,4 Banheiros,4 Vagas,<span> Jardim Panorama
138,R$ 510.000,56 m² área total,56 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Santana
139,R$ 2.400.000,309 m² área total,309 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Jardim Marajoara
140,R$ 530.000,41 m² área total,41 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Moema
141,R$ 280.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
142,R$ 250.000,37 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
143,R$ 550.000,82 m² área total,82 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
144,R$ 628.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
145,R$ 695.000,80 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Pinheiros
146,R$ 640.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
147,R$ 415.000,95 m² área total,95 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Jardim Esmeralda
148,R$ 630.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
149,R$ 695.000,52 m² área total,52 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Pinheiros
150,R$ 895.000,94 m² área total,94 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Vila Mariana
151,R$ 300.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
152,R$ 2.000.000,208 m² área total,208 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Brooklin
153,R$ 320.000,85 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
154,R$ 410.000,55 m² área total,55 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
155,R$ 490.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
156,R$ 540.000,100 m² área total,62 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Saúde
157,R$ 265.000,44 m² área total,34 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campos Elíseos
158,R$ 340.000,48 m² área total,48 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Andrade
159,R$ 580.000,85 m² área total,65 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Perdizes
160,R$ 2.200.000,179 m² área total,179 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Brooklin
161,R$ 295.000,58 m² área total,58 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Ester
162,R$ 470.000,43 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
163,R$ 222.000,66 m² área total,46 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Parque Munhoz
164,R$ 300.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
165,R$ 660.000,125 m² área total,85 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Campo Belo
166,R$ 797.000,82 m² área total,82 m² área útil,1 Quarto,3 Banheiros,2 Vagas,<span> Chácara Santo Antônio
167,R$ 1.000.000,150 m² área total,95 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Pinheiros
168,R$ 1.550.000,126 m² área total,126 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Alto da Boa Vista
169,R$ 250.000,55 m² área total,55 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Esmeralda
170,R$ 750.000,86 m² área total,86 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Mascote
171,R$ 940.000,600 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
172,R$ 425.000,90 m² área total,78 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Mandaqui
173,R$ 1.780.000,411 m² área total,411 m² área útil,4 Quartos,6 Banheiros,3 Vagas,<span> Jardim Marajoara
174,R$ 170.000,52 m² área total,25 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
175,R$ 600.000,44 m² área total,44 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
176,R$ 635.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
177,R$ 1.170.000,148 m² área total,148 m² área útil,4 Quartos,4 Banheiros,3 Vagas,<span> Jardim Marajoara
178,R$ 640.000,70 m² área total,70 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Sumaré
179,R$ 370.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
180,R$ 780.000,47 m² área total,47 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
181,R$ 295.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
182,R$ 570.000,66 m² área total,57 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Aclimação
183,R$ 490.000,60 m² área total,60 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
184,R$ 440.000,80 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
185,R$ 3.445.000,250 m² área total,156 m² área útil,4 Quartos,1 Banheiro,3 Vagas,<span> Consolação
186,R$ 470.000,85 m² área total,70 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Vila Mascote
187,R$ 989.000,97 m² área total,97 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Saúde
188,R$ 390.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
189,R$ 415.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
190,R$ 2.050.000,127 m² área total,127 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Moema
191,R$ 230.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
192,R$ 505.000,34 m² área total,34 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
193,R$ 510.000,75 m² área total,75 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
194,R$ 455.000,48 m² área total,48 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
195,R$ 570.000,84 m² área total,84 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila das Mercês
196,R$ 280.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
197,R$ 310.000,12 m² área total,12 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
198,R$ 348.000,41 m² área total,41 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Saúde
199,R$ 740.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
200,R$ 192.000,53 m² área total,53 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Santana
201,R$ 265.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
202,R$ 470.000,50 m² área total,50 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Saúde
203,R$ 265.000,65 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
204,R$ 1.895.000,254 m² área total,154 m² área útil,1 Quarto,3 Banheiros,3 Vagas,<span> Higien
205,R$ 540.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
206,R$ 904.000,168 m² área total,84 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> São Judas
207,R$ 415.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
208,R$ 409.000,100 m² área total,100 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Casa Verde
209,R$ 1.450.000,132 m² área total,132 m² área útil,3 Quartos,4 Banheiros,3 Vagas,<span> Vila Mariana
210,R$ 235.000,65 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
211,R$ 450.000,50 m² área total,50 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Anastácio
212,R$ 514.000,72 m² área total,72 m² área útil,3 Quartos,3 Banheiros,1 Vaga,<span> Jabaquara
213,R$ 918.000,100 m² área total,89 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Brooklin Paulista
214,R$ 685.000,53 m² área total,53 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Pompéia
215,R$ 720.000,50 m² área total,50 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
216,R$ 288.000,14 m² área total,14 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Consolação
217,R$ 420.000,38 m² área total,38 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
218,R$ 235.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
219,R$ 192.000,53 m² área total,53 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Santana
220,R$ 615.000,65 m² área total,65 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
221,R$ 670.000,124 m² área total,124 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Cidade São Francisco
222,R$ 415.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
223,R$ 530.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
224,R$ 2.550.000,223 m² área total,223 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Vila Romana
225,R$ 1.249.500,111 m² área total,111 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Monte Alegre
226,R$ 200.000,28 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
227,R$ 740.000,164 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
228,R$ 1.100.000,48 m² área total,48 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
229,R$ 840.000,120 m² área total,64 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Itaim Bibi
230,R$ 1.080.000,120 m² área total,65 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Chácara Santo Antônio
231,R$ 420.000,100 m² área total,64 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Mooca
232,R$ 1.700.000,287 m² área total,149 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Perdizes
233,R$ 1.050.000,96 m² área total,96 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Brooklin
234,R$ 300.000,65 m² área total,65 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Penha de França
235,R$ 875.000,80 m² área total,80 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Romana
236,R$ 1.750.000,120 m² área total,120 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Brooklin
237,R$ 540.000,49 m² área total,49 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardins
238,R$ 765.000,95 m² área total,95 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
239,R$ 370.000,32 m² área total,32 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Perdizes
240,R$ 900.000,75 m² área total,75 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
241,R$ 750.000,186 m² área total,101 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Saúde
